NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,LON,LAT
Lake of the Woods,Minnesota,27,77,27077,-94.90359451,48.77170892
Ferry,Washington,53,19,53019,-118.5183033,48.46948438
Stevens,Washington,53,65,53065,-117.8564116,48.39580865
Okanogan,Washington,53,47,53047,-119.7406103,48.54830686
Pend Oreille,Washington,53,51,53051,-117.2750688,48.53270731
Boundary,Idaho,16,21,16021,-116.4713335,48.76496022
Lincoln,Montana,30,53,30053,-115.4092545,48.53836603
Flathead,Montana,30,29,30029,-114.0556773,48.28954921
Glacier,Montana,30,35,30035,-113.0007911,48.70202558
Toole,Montana,30,101,30101,-111.7010978,48.65362694
Liberty,Montana,30,51,30051,-111.0310091,48.55957914
Hill,Montana,30,41,30041,-110.1157481,48.62791917
Sheridan,Montana,30,91,30091,-104.5078147,48.72213828
Divide,North Dakota,38,23,38023,-103.4888814,48.81940104
Burke,North Dakota,38,13,38013,-102.5159193,48.79384027
Renville,North Dakota,38,75,38075,-101.6599784,48.72038948
Bottineau,North Dakota,38,9,38009,-100.8362927,48.79146705
Rolette,North Dakota,38,79,38079,-99.84586951,48.77136045
Towner,North Dakota,38,95,38095,-99.24690738,48.68789388
Cavalier,North Dakota,38,19,38019,-98.46123966,48.77450576
Pembina,North Dakota,38,67,38067,-97.54707363,48.76855273
Kittson,Minnesota,27,69,27069,-96.78307602,48.77579161
Roseau,Minnesota,27,135,27135,-95.81373185,48.77702423
Blaine,Montana,30,5,30005,-108.9647208,48.43485857
Phillips,Montana,30,71,30071,-107.9195864,48.26246752
Valley,Montana,30,105,30105,-106.6727341,48.36673982
Daniels,Montana,30,19,30019,-105.5508736,48.78714091
Whatcom,Washington,53,73,53073,-121.7038645,48.82302193
Bonner,Idaho,16,17,16017,-116.6009786,48.29311059
Ward,North Dakota,38,101,38101,-101.5405971,48.22419402
Koochiching,Minnesota,27,71,27071,-93.78316081,48.24638416
Skagit,Washington,53,57,53057,-121.7199255,48.47287863
Williams,North Dakota,38,105,38105,-103.4827032,48.35015705
McHenry,North Dakota,38,49,38049,-100.6381725,48.23719178
St. Louis,Minnesota,27,137,27137,-92.46993685,47.60606467
San Juan,Washington,53,55,53055,-123.0824477,48.53598645
Roosevelt,Montana,30,85,30085,-105.0253138,48.29737461
Mountrail,North Dakota,38,61,38061,-102.3561702,48.20413453
Marshall,Minnesota,27,89,27089,-96.36235922,48.35806748
Ramsey,North Dakota,38,71,38071,-98.72492447,48.26999007
